timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658378082.61548,580,412,455,599,428,295
1658378082.72182,580,409,452,586,425,314
1658378082.81585,580,397,443,525,414,405
1658378082.91637,580,387,434,450,403,508
1658378083.01596,580,377,427,406,396,561
1658378083.11583,579,366,420,363,391,643
1658378083.21619,579,353,409,360,376,732
1658378083.31583,579,345,397,361,365,752
1658378083.41581,579,333,390,361,354,751
1658378083.51611,579,323,379,361,343,751
1658378083.6158,579,313,371,361,335,751
1658378083.71583,573,308,362,361,332,751
1658378083.81632,565,308,350,361,330,751
1658378083.91582,555,308,342,361,329,751
1658378084.01581,552,308,334,361,330,751
1658378084.11581,548,308,324,361,330,751
1658378084.21575,545,308,314,361,330,751
1658378084.31575,541,308,311,361,330,751
1658378084.4158,539,308,311,361,330,751
1658378084.51575,538,308,311,361,330,751
1658378084.61574,538,308,311,361,330,751
1658378084.71568,533,311,311,363,330,744
1658378084.81572,525,335,313,376,329,721
1658378084.91591,520,376,323,384,328,686
1658378085.01579,519,414,338,394,328,654
1658378085.11576,519,447,346,405,325,627
1658378085.21578,519,455,357,415,323,596
1658378085.31582,519,455,368,424,324,566
1658378085.41578,519,455,378,437,325,533
1658378085.51585,519,455,390,446,325,503
1658378085.6158,519,455,398,457,323,475
1658378085.71595,519,455,408,465,323,450
1658378085.81598,519,455,418,475,324,450
1658378085.91587,519,455,429,481,323,450
1658378086.01575,519,455,440,483,323,450
1658378086.11579,519,455,451,483,323,450
1658378086.21577,519,455,462,483,323,450
1658378086.3158,519,455,470,483,324,450
1658378086.41585,519,455,471,483,324,449
1658378086.51582,519,455,471,483,323,450
1658378086.61579,519,455,472,483,323,450
1658378086.71575,519,455,472,483,323,450
1658378086.81581,519,449,470,481,327,450
1658378086.91588,519,437,463,469,337,451
1658378087.01588,519,424,455,452,352,451
1658378087.11588,518,410,450,437,366,454
1658378087.21579,519,394,440,421,379,455
1658378087.31575,519,380,433,405,393,457
1658378087.41577,519,366,423,388,407,458
1658378087.51601,523,351,417,372,420,460
1658378087.61586,526,337,407,356,436,461
1658378087.71584,531,325,400,341,449,465
1658378087.8159,532,320,399,339,453,466
1658378087.91585,533,320,399,339,452,465
1658378088.0159,533,321,398,339,452,469
1658378088.11611,533,321,398,339,453,471
1658378088.2159,533,320,398,339,453,473
1658378088.31583,533,320,399,339,453,474
1658378088.41589,533,320,398,339,453,474
1658378088.51582,533,320,398,339,453,475
1658378088.6159,533,320,398,339,452,476
1658378088.71588,533,320,398,339,452,472
1658378088.8158,533,322,399,335,447,442
1658378088.91583,533,330,399,329,441,408
1658378089.0159,533,340,398,323,433,361
1658378089.11584,533,352,400,319,426,329
1658378089.21585,533,362,400,313,419,291
1658378089.31595,533,371,401,308,410,260
1658378089.41586,533,380,406,302,403,254
1658378089.51589,533,391,404,298,399,254
1658378089.61588,533,401,406,298,390,254
