timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658380109.55455,418,373,268,400,343,451
1658380109.65458,431,372,268,403,343,451
1658380109.75459,444,372,268,405,343,451
1658380109.85458,457,372,268,409,343,451
1658380109.95456,471,372,268,409,343,451
1658380110.05461,483,372,268,409,344,451
1658380110.15466,496,372,268,409,343,451
1658380110.25457,498,372,268,409,343,451
1658380110.35468,498,372,268,409,343,451
1658380110.45457,498,372,268,409,343,451
1658380110.55466,498,372,278,411,343,451
1658380110.65491,498,372,320,414,343,453
1658380110.75453,498,371,382,416,346,455
1658380110.85458,498,368,442,421,350,460
1658380110.95458,498,365,509,422,359,462
1658380111.05454,486,362,580,426,366,468
1658380111.15451,476,360,644,428,373,471
1658380111.2546,472,357,704,428,379,473
1658380111.35458,472,355,767,426,389,478
1658380111.45457,472,355,774,426,397,480
1658380111.55481,472,355,774,426,401,483
1658380111.65459,472,355,774,426,407,483
1658380111.75449,472,355,774,426,414,484
1658380111.85459,472,355,774,426,420,484
1658380111.95483,472,354,774,426,426,484
1658380112.05467,472,355,774,426,430,484
1658380112.15459,472,355,774,426,439,484
1658380112.25461,472,355,774,426,440,484
1658380112.35455,472,355,774,426,440,483
1658380112.45458,472,355,774,424,439,484
1658380112.55454,471,355,773,426,441,483
1658380112.6546,465,355,748,425,454,471
1658380112.75457,436,361,711,426,482,454
1658380112.85461,401,368,669,426,506,436
1658380112.95469,372,376,628,426,528,419
1658380113.05456,356,383,589,426,549,401
1658380113.15463,354,392,549,426,573,384
1658380113.25459,354,397,508,424,593,365
1658380113.35467,354,405,469,424,615,350
1658380113.4547,354,414,429,424,637,330
1658380113.55452,354,419,387,422,662,313
1658380113.65457,354,422,351,422,681,313
1658380113.75459,354,422,310,422,701,313
1658380113.85459,354,422,274,419,702,313
1658380113.95465,354,422,233,419,702,313
1658380114.05469,354,422,225,419,703,313
1658380114.15471,354,426,225,419,703,313
1658380114.25458,354,422,224,419,703,313
1658380114.35454,354,422,225,419,704,313
1658380114.45451,354,422,225,419,702,312
1658380114.55454,354,422,224,419,703,313
1658380114.65454,354,424,227,419,692,313
1658380114.75458,354,431,233,419,667,313
1658380114.85457,354,435,236,422,637,310
1658380114.95462,354,440,246,425,611,309
1658380115.05447,357,447,252,431,579,309
1658380115.15457,366,452,260,438,549,304
1658380115.25471,372,452,265,442,525,303
1658380115.35455,378,451,273,449,489,303
1658380115.45455,384,452,279,452,465,301
1658380115.55453,391,452,287,456,439,300
1658380115.65455,401,452,299,460,414,300
1658380115.75465,408,452,300,464,386,300
1658380115.85464,412,452,297,467,382,299
1658380115.95456,418,453,303,467,381,299
1658380116.05457,421,452,303,467,381,300
1658380116.15458,430,452,303,467,381,300
1658380116.25454,432,452,303,467,381,300
1658380116.35458,432,452,303,467,381,299
1658380116.45467,432,452,303,467,381,300
1658380116.55595,432,452,303,467,381,300
1658380116.65444,432,452,304,467,381,298
1658380116.75459,432,448,303,467,389,288
1658380116.85461,432,438,302,467,396,276
1658380116.95462,432,430,301,466,403,269
1658380117.05457,432,418,297,464,414,261
1658380117.15491,432,406,293,460,423,252
1658380117.25451,432,397,291,459,432,244
1658380117.35462,423,387,291,455,441,233
1658380117.45473,420,375,291,452,453,229
1658380117.55461,412,367,291,449,463,229
