timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658380336.05457,258,576,434,340,358,373
1658380336.15463,237,576,433,339,358,374
1658380336.25465,220,576,434,340,359,373
1658380336.35454,202,576,434,340,359,373
1658380336.45453,201,576,433,339,359,373
1658380336.55453,201,576,434,340,359,373
1658380336.65469,201,576,434,340,359,374
1658380336.75478,201,576,434,340,358,373
1658380336.85459,201,576,434,340,359,374
1658380336.9547,201,576,434,340,358,373
1658380337.05461,201,576,434,339,358,373
1658380337.15445,201,567,434,339,358,374
1658380337.25464,201,522,442,340,359,373
1658380337.35467,201,466,452,340,366,372
1658380337.45461,201,414,461,340,372,371
1658380337.55466,199,368,467,339,381,371
1658380337.65455,192,362,472,339,388,368
1658380337.75455,187,362,472,339,397,366
1658380337.85459,187,362,473,339,402,366
1658380337.95452,187,361,473,339,410,363
1658380338.05455,187,362,473,339,419,361
1658380338.15456,187,361,473,339,423,360
1658380338.25458,187,362,473,338,425,357
1658380338.35458,187,362,473,339,424,356
1658380338.45454,187,357,473,339,424,353
1658380338.55461,187,361,473,339,424,353
1658380338.65466,187,361,473,339,425,351
1658380338.75466,187,361,473,339,424,350
1658380338.85455,187,360,473,339,425,349
1658380338.95464,188,361,473,339,425,349
1658380339.05458,187,361,473,339,424,350
1658380339.1545,187,361,473,339,424,346
1658380339.25464,187,365,472,341,411,337
1658380339.35463,195,369,465,351,381,325
1658380339.45466,215,374,454,363,352,317
1658380339.55464,238,378,444,374,329,308
1658380339.65455,264,381,436,382,327,293
1658380339.75461,290,386,429,389,325,282
1658380339.85464,317,387,421,400,326,271
1658380339.95468,343,387,415,405,326,259
1658380340.05484,366,387,413,415,325,249
1658380340.15469,387,387,413,422,325,240
1658380340.25462,398,387,412,431,325,227
1658380340.35482,399,387,412,438,325,220
1658380340.45459,398,387,412,446,325,219
1658380340.55458,398,387,412,452,325,219
1658380340.65457,398,387,412,452,325,219
1658380340.75469,398,387,412,452,324,219
1658380340.85457,398,387,412,452,325,219
1658380340.95452,398,387,412,453,325,219
1658380341.05462,398,387,412,452,325,219
1658380341.15473,398,386,412,452,325,219
1658380341.25455,398,385,406,453,325,225
1658380341.35459,398,386,396,451,325,234
1658380341.45457,396,384,386,447,327,247
1658380341.55468,387,382,378,441,334,262
1658380341.65453,375,379,378,435,337,272
1658380341.75465,361,375,378,428,343,285
1658380341.8546,345,371,378,422,347,296
1658380341.95459,335,370,378,417,350,309
1658380342.05458,326,366,378,411,354,323
1658380342.15524,316,363,378,405,359,335
1658380342.2546,303,363,378,400,365,346
1658380342.35457,294,363,378,394,367,359
1658380342.45457,290,362,378,387,375,374
1658380342.5546,288,363,378,383,376,384
1658380342.6546,288,362,378,374,381,396
1658380342.75479,289,362,378,370,385,408
1658380342.85455,288,362,378,367,386,409
1658380342.9546,288,362,378,367,385,410
1658380343.05461,289,363,378,367,387,410
1658380343.15455,289,363,378,368,392,410
1658380343.25456,289,364,376,378,415,411
1658380343.35478,303,365,374,392,467,412
1658380343.45456,335,370,373,400,518,411
1658380343.55469,366,375,373,414,568,411
1658380343.65479,384,380,371,427,616,411
1658380343.75455,385,390,369,441,663,411
1658380343.85459,385,391,369,450,672,410
1658380343.9547,385,395,363,472,672,411
1658380344.05458,385,401,363,487,671,411
