timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658380649.78779,399,395,376,374,451,317
1658380649.88795,399,395,375,374,451,311
1658380649.98779,399,395,376,373,451,303
1658380650.08797,399,394,376,373,452,298
1658380650.18795,399,395,376,373,452,291
1658380650.28788,399,395,376,373,451,287
1658380650.388,399,395,376,373,451,284
1658380650.48797,399,395,376,373,451,284
1658380650.5878,399,395,376,373,452,284
1658380650.6878,399,395,376,373,451,286
1658380650.78791,399,397,376,374,448,287
1658380650.8878,399,404,377,381,425,298
1658380650.98779,399,414,376,396,390,311
1658380651.08781,399,422,376,412,356,327
1658380651.18784,394,430,375,426,342,344
1658380651.28777,382,438,376,435,342,357
1658380651.38786,375,447,375,447,343,372
1658380651.48783,371,455,376,459,342,384
1658380651.5878,371,463,375,470,342,398
1658380651.68783,371,472,376,481,342,414
1658380651.78779,370,477,375,494,342,428
1658380651.88786,367,480,375,506,340,443
1658380651.98789,367,477,376,516,341,454
1658380652.08776,366,478,376,529,343,453
1658380652.18778,366,476,376,534,342,453
1658380652.2878,366,479,376,535,342,453
1658380652.38784,366,478,375,537,342,453
1658380652.48773,366,479,375,537,342,454
1658380652.58778,366,479,376,537,342,453
1658380652.68781,366,478,375,537,342,453
1658380652.78802,366,479,376,536,342,451
1658380652.88782,366,476,375,537,341,442
1658380652.98783,366,470,375,532,337,425
1658380653.08774,361,463,376,526,334,412
1658380653.18783,354,457,376,518,330,396
1658380653.28774,347,447,376,512,327,382
1658380653.38776,346,441,375,506,323,366
1658380653.48779,345,435,376,499,321,351
1658380653.58776,345,427,375,491,317,335
1658380653.688,335,419,375,487,314,322
1658380653.78814,333,414,376,479,312,309
1658380653.88794,329,405,375,471,308,291
1658380653.98781,329,398,376,468,306,281
1658380654.08779,329,393,376,467,304,281
1658380654.18777,329,385,375,466,299,280
1658380654.28774,329,384,376,466,295,281
1658380654.38785,329,384,376,466,293,279
1658380654.48789,329,384,375,466,294,280
1658380654.58788,329,384,376,466,293,280
1658380654.6881,329,384,375,466,294,281
1658380654.78786,329,384,375,460,294,280
1658380654.88779,329,383,375,441,294,280
1658380654.98777,329,381,376,410,304,286
1658380655.08789,329,376,375,377,313,290
1658380655.18778,329,374,376,344,328,299
1658380655.28773,329,370,376,335,339,303
1658380655.38788,329,367,375,335,348,309
1658380655.48794,331,364,376,335,357,313
1658380655.58779,338,361,376,335,367,318
1658380655.68782,345,357,375,335,369,325
1658380655.78796,354,354,375,335,369,330
1658380655.88783,360,354,376,335,370,338
1658380655.9878,364,354,376,335,372,341
1658380656.08779,365,354,376,335,370,349
1658380656.18797,364,354,376,335,371,351
1658380656.28774,365,354,376,335,371,353
1658380656.38776,365,354,375,335,371,347
1658380656.48782,365,354,376,335,371,353
1658380656.58782,365,354,376,335,371,353
1658380656.68783,365,354,376,335,371,353
1658380656.7882,365,354,376,335,371,353
1658380656.88769,365,354,376,335,371,351
1658380656.98777,365,354,376,335,373,339
1658380657.08833,365,354,375,335,376,327
1658380657.18808,365,355,375,335,380,318
1658380657.2878,365,358,376,335,384,309
1658380657.38802,364,360,376,335,386,296
1658380657.48769,365,362,375,334,386,287
1658380657.58774,365,364,377,335,390,276
1658380657.68775,365,365,376,335,389,275
