timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658383378.03825,371,386,461,415,458,371
1658383378.13831,371,374,455,405,455,356
1658383378.23828,371,364,452,394,453,341
1658383378.33836,371,360,447,394,448,330
1658383378.43838,371,361,442,396,441,318
1658383378.53881,371,360,441,395,442,306
1658383378.63841,371,360,441,394,442,294
1658383378.73863,371,360,441,394,442,291
1658383378.83842,371,360,441,395,442,292
1658383378.93827,371,361,441,394,442,292
1658383379.03831,371,360,441,395,442,292
1658383379.13837,371,360,440,406,440,287
1658383379.23834,371,360,433,434,425,281
1658383379.33831,371,360,427,465,412,275
1658383379.43825,371,357,421,489,403,267
1658383379.53834,371,357,417,493,395,262
1658383379.63839,371,354,412,493,385,254
1658383379.73835,371,353,406,493,383,254
1658383379.83838,371,353,400,493,382,254
1658383379.93844,371,353,396,493,381,254
1658383380.03839,371,353,390,493,381,254
1658383380.13858,371,353,385,493,381,254
1658383380.23832,371,353,382,493,382,254
1658383380.3383,371,352,379,493,382,254
1658383380.43833,371,353,379,494,381,254
1658383380.53833,371,353,380,493,382,254
1658383380.63839,371,353,379,493,381,254
1658383380.73827,371,353,379,493,383,254
1658383380.83829,371,353,379,493,382,254
1658383380.93838,371,353,380,493,382,255
1658383381.03838,371,353,379,493,381,254
1658383381.13852,371,365,379,497,382,254
1658383381.23851,371,413,-27268,509,381,254
1658383381.33827,371,464,379,522,379,255
1658383381.43825,371,519,380,533,379,258
1658383381.53825,371,583,380,545,377,259
1658383381.63826,371,636,378,555,378,263
1658383381.7384,371,683,379,568,377,270
1658383381.83847,371,686,382,578,377,269
1658383381.9384,371,686,382,588,379,271
1658383382.03826,371,686,383,601,377,271
1658383382.13826,371,686,385,612,378,271
1658383382.23852,371,686,385,622,376,271
1658383382.33834,371,686,385,636,377,271
1658383382.43833,371,686,391,646,377,272
1658383382.53832,371,686,386,654,377,271
1658383382.63852,371,686,387,653,378,272
1658383382.7384,371,686,387,654,377,271
1658383382.83834,371,686,387,654,378,272
1658383382.93826,371,686,387,654,377,271
1658383383.03835,371,686,386,654,377,271
1658383383.13845,371,673,387,647,376,291
1658383383.23829,371,405,421,503,368,493
1658383383.62794,371,379,425,491,366,493
1658383383.7282,371,360,437,453,365,493
1658383383.82815,371,360,447,416,364,493
1658383383.92819,371,360,452,377,365,493
1658383384.02815,371,360,465,344,365,493
1658383384.12819,371,360,477,308,366,493
1658383384.2281,371,359,487,302,368,493
1658383384.32807,371,360,493,304,365,493
1658383384.4283,371,359,493,303,366,493
1658383384.52816,371,359,495,303,366,494
1658383384.62816,371,360,495,303,366,493
1658383384.72818,371,359,495,303,365,494
1658383384.82816,371,359,495,303,366,493
1658383384.92812,371,359,496,303,366,493
1658383385.02815,371,359,495,303,366,493
1658383385.12823,371,358,495,302,365,493
1658383385.22864,371,363,487,303,365,480
1658383385.32811,371,371,472,305,367,463
1658383385.42816,371,380,455,307,374,445
1658383385.52816,371,389,438,308,375,432
1658383385.62828,371,396,420,313,380,415
1658383385.72807,371,404,407,313,384,399
1658383385.82825,371,414,390,318,386,384
1658383385.92817,371,421,372,317,390,363
1658383386.02818,371,423,356,323,393,351
