timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658380010.62833,374,462,451,431,372,256
1658380010.72831,362,463,452,437,372,256
1658380010.8284,349,462,452,442,372,256
1658380010.92846,342,463,452,449,372,256
1658380011.02843,333,462,452,449,373,256
1658380011.12843,333,462,452,449,372,256
1658380011.22865,333,462,452,449,372,255
1658380011.32835,333,462,452,449,372,256
1658380011.42847,333,462,452,449,372,256
1658380011.52835,333,462,452,449,372,256
1658380011.62875,333,462,458,452,374,269
1658380011.72844,333,462,473,464,371,310
1658380011.82855,333,462,497,471,368,353
1658380011.92828,333,462,519,482,363,404
1658380012.02846,333,462,542,494,356,443
1658380012.12834,333,462,565,502,352,444
1658380012.22842,333,461,588,509,345,445
1658380012.32843,333,459,611,509,340,445
1658380012.42834,335,458,635,510,337,445
1658380012.52832,343,455,656,511,330,445
1658380012.62841,345,453,676,511,324,445
1658380012.72842,353,452,680,511,319,444
1658380012.82843,355,449,680,511,316,444
1658380012.92847,357,447,680,511,313,445
1658380013.02834,356,447,681,511,313,444
1658380013.12842,356,447,680,511,313,444
1658380013.22851,356,447,681,511,313,445
1658380013.32839,356,447,685,511,313,444
1658380013.42847,356,447,681,511,313,444
1658380013.52833,356,447,680,511,313,444
1658380013.62829,356,447,677,513,313,439
1658380013.72828,356,446,658,523,313,416
1658380013.82846,356,440,628,539,314,383
1658380013.92844,356,439,595,552,321,351
1658380014.02844,354,435,564,565,328,318
1658380014.12833,345,433,529,578,334,287
1658380014.2285,335,430,499,592,338,256
1658380014.32844,333,424,490,606,346,249
1658380014.42844,333,421,491,619,354,250
1658380014.52862,333,418,490,632,363,251
1658380014.6284,333,414,491,644,366,250
1658380014.72842,329,411,491,657,373,249
1658380014.82848,329,407,491,670,378,249
1658380014.92841,329,405,490,684,386,250
1658380015.02847,329,403,490,696,393,250
1658380015.12835,329,401,491,696,392,250
1658380015.22833,329,401,490,697,393,249
1658380015.32834,329,401,490,696,398,250
1658380015.42843,329,401,490,696,398,250
1658380015.52842,329,401,490,696,397,249
1658380015.62845,329,401,487,694,397,251
1658380015.72827,329,401,7639,670,387,262
1658380015.82849,329,401,444,622,378,282
1658380015.92849,329,402,417,568,366,299
1658380016.02845,32511,402,390,520,356,317
1658380016.12834,329,403,363,470,343,336
1658380016.22842,329,405,336,410,332,357
1658380016.32842,329,407,325,365,319,374
1658380016.42845,329,409,325,313,311,393
1658380016.52855,333,412,325,289,299,394
1658380016.62833,340,414,325,291,284,395
1658380016.72832,343,414,325,291,281,395
1658380016.82843,343,418,325,291,280,395
1658380016.92835,346,419,325,291,281,395
1658380017.02835,352,422,325,291,280,395
1658380017.12833,352,424,325,291,282,395
1658380017.22846,352,426,325,291,281,395
1658380017.32831,352,426,325,291,281,395
1658380017.4284,352,426,325,291,281,395
1658380017.52843,352,426,325,291,285,395
1658380017.62839,352,428,331,297,286,395
1658380017.72841,352,431,332,308,291,395
1658380017.82844,352,436,356,338,320,395
1658380017.92835,352,446,384,366,352,395
1658380018.02844,352,453,413,395,388,395
1658380018.12831,351,461,441,400,415,390
1658380018.22835,351,469,468,400,448,395
1658380018.32835,345,474,482,400,485,395
1658380018.4285,343,474,482,399,517,395
1658380018.52841,336,474,482,398,549,395
