timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658380123.6546,382,347,455,361,392,310
1658380123.75462,387,344,455,360,395,310
1658380123.85455,399,341,455,356,398,310
1658380123.95461,409,337,460,355,398,310
1658380124.05461,413,335,455,353,401,310
1658380124.15462,415,332,456,353,402,310
1658380124.25461,415,329,455,354,401,310
1658380124.35457,415,329,455,353,402,310
1658380124.4546,415,329,456,353,399,310
1658380124.55457,415,328,456,353,402,310
1658380124.65448,415,329,455,353,402,310
1658380124.75465,415,329,455,362,402,309
1658380124.85472,415,333,447,388,401,307
1658380124.95461,409,339,437,416,400,309
1658380125.05456,394,346,427,443,401,309
1658380125.1545,383,353,417,467,401,309
1658380125.2546,371,360,407,493,400,308
1658380125.35462,366,368,399,519,400,309
1658380125.45452,361,374,390,544,399,309
1658380125.55454,361,376,378,548,400,306
1658380125.6545,361,377,371,549,404,304
1658380125.75452,361,377,363,549,400,303
1658380125.85465,361,377,351,549,400,303
1658380125.95466,361,377,342,549,403,303
1658380126.05453,361,377,335,549,400,303
1658380126.15464,361,378,332,549,401,304
1658380126.25467,361,377,332,549,399,303
1658380126.35465,361,377,332,549,400,303
1658380126.45458,361,378,332,549,400,303
1658380126.55457,361,377,332,550,400,304
1658380126.65476,361,378,332,549,400,303
1658380126.75445,361,379,339,549,400,306
1658380126.85459,361,381,353,549,408,323
1658380126.95458,362,387,373,546,420,341
1658380127.05454,362,393,400,539,437,360
1658380127.1546,362,398,427,530,446,375
1658380127.25461,362,404,452,522,446,395
1658380127.35465,362,409,477,516,446,414
1658380127.45453,362,409,501,511,446,433
1658380127.55458,362,409,525,503,449,448
1658380127.65455,362,409,550,496,451,465
1658380127.75465,362,409,577,490,451,477
1658380127.85462,362,410,602,482,451,479
1658380127.95468,362,409,629,472,451,480
1658380128.05457,362,409,651,468,452,479
1658380128.15456,362,409,669,462,453,479
1658380128.2546,362,409,672,462,453,479
1658380128.35459,362,409,672,463,452,479
1658380128.45459,362,409,672,462,452,479
1658380128.55468,362,409,672,463,452,479
1658380128.65456,362,409,672,462,451,479
1658380128.75491,362,409,663,459,452,479
1658380128.85472,362,410,629,447,452,477
1658380128.95472,362,413,580,431,452,473
1658380129.05467,362,412,531,416,452,470
1658380129.1546,362,413,483,403,452,465
1658380129.25459,362,414,435,387,451,461
1658380129.35481,362,414,386,372,449,455
1658380129.4546,362,414,339,358,449,450
1658380129.55466,362,414,297,344,446,445
1658380129.65474,362,415,291,344,443,440
1658380129.75476,362,415,291,343,443,438
1658380129.85456,362,415,291,344,443,431
1658380129.95454,362,415,291,344,443,428
1658380130.05457,362,415,291,344,443,428
1658380130.15456,362,415,291,344,439,428
1658380130.25456,362,415,291,343,439,428
1658380130.35459,362,417,291,344,439,428
1658380130.45458,362,416,291,344,439,428
1658380130.5547,362,417,291,344,439,428
1658380130.65458,362,417,291,344,439,428
1658380130.75446,362,418,293,348,439,427
1658380130.85465,366,423,306,348,439,421
1658380130.95473,390,431,331,356,443,415
1658380131.0545,394,439,351,365,441,408
1658380131.15458,394,444,371,371,446,400
1658380131.25457,394,455,396,381,450,395
1658380131.35457,394,462,417,387,454,388
1658380131.45459,394,464,422,397,456,382
1658380131.55453,394,464,421,405,459,374
1658380131.65449,394,464,421,413,464,368
