timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658380494.28783,382,331,314,379,433,373
1658380494.38788,382,327,314,379,439,374
1658380494.48776,382,319,314,379,447,373
1658380494.58786,382,318,314,378,457,374
1658380494.68785,382,318,314,378,464,373
1658380494.78778,382,318,314,378,469,374
1658380494.88813,382,318,314,378,478,373
1658380494.98781,382,318,314,378,482,373
1658380495.08785,382,318,314,375,482,374
1658380495.18802,382,318,314,375,482,374
1658380495.28774,382,318,314,375,482,373
1658380495.38767,382,318,317,375,480,368
1658380495.48775,382,318,325,374,471,349
1658380495.58782,382,318,339,375,458,329
1658380495.68832,384,318,353,377,442,309
1658380495.78786,393,318,368,378,429,282
1658380495.88775,406,318,382,378,420,265
1658380495.98772,412,318,390,378,407,254
1658380496.08776,418,318,393,377,391,254
1658380496.18772,424,318,393,377,381,254
1658380496.28777,432,318,393,378,371,254
1658380496.38783,441,318,393,378,357,254
1658380496.48773,449,318,393,378,346,254
1658380496.58776,456,318,393,378,335,254
1658380496.68818,456,318,393,378,320,254
1658380496.78797,456,318,393,378,312,254
1658380496.88786,456,318,393,378,297,254
1658380496.98782,456,318,393,378,292,254
1658380497.08793,456,318,393,378,290,254
1658380497.18804,456,318,393,378,291,254
1658380497.2878,456,318,393,378,291,254
1658380497.38765,456,320,391,378,289,254
1658380497.48784,456,330,396,378,297,251
1658380497.58781,456,348,401,378,312,255
1658380497.68778,456,368,410,378,331,262
1658380497.78797,456,386,417,378,347,265
1658380497.8879,456,403,425,378,364,269
1658380497.98791,456,424,432,378,379,274
1658380498.08787,456,438,438,378,398,277
1658380498.18786,456,457,444,376,410,281
1658380498.28785,456,474,455,375,415,281
1658380498.38783,456,490,461,377,414,281
1658380498.48803,456,492,468,376,415,281
1658380498.58793,456,492,474,376,415,281
1658380498.68781,456,493,479,375,415,281
1658380498.78784,456,493,476,376,415,281
1658380498.88777,456,492,476,375,416,281
1658380498.98778,456,493,477,375,416,281
1658380499.08774,456,492,476,376,415,282
1658380499.18776,456,492,476,375,415,281
1658380499.28785,456,493,477,375,415,281
1658380499.38792,456,493,474,375,415,286
1658380499.48832,456,492,465,376,418,296
1658380499.58782,456,492,444,376,423,309
1658380499.68792,450,491,427,375,430,325
1658380499.78807,446,487,409,375,437,339
1658380499.88805,437,484,390,375,437,351
1658380499.98784,430,482,373,378,437,366
1658380500.08781,421,479,353,378,437,379
1658380500.18797,413,474,335,378,437,398
1658380500.28805,408,471,330,378,436,409
1658380500.38796,404,468,331,378,437,421
1658380500.48788,404,466,331,378,437,436
1658380500.58783,404,462,331,378,437,448
1658380500.68782,404,459,331,378,437,449
1658380500.78782,404,458,330,378,437,450
1658380500.88787,404,457,331,378,437,450
1658380500.98789,404,457,331,378,437,452
1658380501.08782,404,457,331,377,437,450
1658380501.18788,404,457,331,378,436,450
1658380501.28779,404,457,331,377,437,450
1658380501.38787,404,455,333,378,439,450
1658380501.48777,404,442,333,378,446,452
1658380501.5878,404,424,340,378,465,455
1658380501.6878,404,403,352,375,486,461
1658380501.78783,404,380,363,374,506,460
1658380501.88779,404,373,369,374,523,466
1658380501.98771,404,372,386,374,540,469
1658380502.08783,403,371,393,373,544,473
1658380502.18786,403,371,407,372,542,477
1658380502.28791,403,370,417,373,542,480
