timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658380593.18783,378,390,393,446,420,335
1658380593.28778,377,393,396,453,420,335
1658380593.38808,378,393,396,462,420,335
1658380593.4878,378,397,401,469,420,335
1658380593.58789,377,399,403,475,420,335
1658380593.68788,377,401,404,483,420,335
1658380593.78798,377,403,406,491,420,336
1658380593.88793,378,403,406,491,420,335
1658380593.98772,378,403,407,491,420,335
1658380594.08774,377,403,407,491,420,336
1658380594.189,378,403,409,491,420,335
1658380594.28787,377,403,409,491,420,337
1658380594.38777,377,403,412,482,420,345
1658380594.48783,377,403,417,467,412,356
1658380594.58813,378,403,421,452,408,368
1658380594.68783,378,403,428,438,399,378
1658380594.78779,377,400,432,418,392,395
1658380594.88782,378,399,440,405,387,403
1658380594.98782,378,398,441,388,379,416
1658380595.08775,377,398,444,376,376,421
1658380595.1879,378,398,450,359,368,421
1658380595.28799,378,398,455,348,364,420
1658380595.38785,378,398,461,348,355,421
1658380595.48805,377,398,463,345,350,421
1658380595.58789,378,399,469,348,342,421
1658380595.68789,378,398,470,348,338,422
1658380595.78778,378,399,470,348,338,422
1658380595.88792,377,398,470,348,338,422
1658380595.98808,378,398,470,348,337,422
1658380596.08781,377,398,470,347,338,422
1658380596.18798,378,398,470,348,338,422
1658380596.28822,378,396,470,347,338,421
1658380596.38776,378,387,469,348,338,417
1658380596.48781,377,372,465,348,337,407
1658380596.58788,377,360,461,347,337,396
1658380596.68774,377,347,452,347,334,387
1658380596.78783,377,334,447,346,332,378
1658380596.88776,378,322,442,347,330,370
1658380596.9877,377,307,436,347,329,358
1658380597.0878,378,298,431,346,330,351
1658380597.18787,378,295,425,345,330,341
1658380597.28782,378,296,419,346,329,330
1658380597.3878,378,295,412,345,330,323
1658380597.48777,377,296,406,345,329,313
1658380597.58775,378,296,401,345,330,301
1658380597.68773,378,296,397,345,329,293
1658380597.78777,378,296,397,344,329,285
1658380597.88855,378,296,397,344,329,277
1658380597.98774,377,295,397,344,330,277
1658380598.08773,377,295,397,344,329,277
1658380598.18839,378,295,397,344,329,277
1658380598.28768,378,295,397,345,330,277
1658380598.38773,1469,296,397,345,334,282
1658380598.48778,378,298,397,349,348,298
1658380598.58767,378,301,397,356,366,309
1658380598.68776,377,307,397,363,379,322
1658380598.78774,378,310,397,364,385,334
1658380598.88782,378,314,397,373,384,349
1658380598.9879,378,317,397,378,384,361
1658380599.08782,377,323,397,384,384,374
1658380599.18771,378,327,397,390,385,389
1658380599.28776,377,328,397,394,384,395
1658380599.38777,377,333,397,402,385,398
1658380599.48781,377,337,397,405,384,399
1658380599.58783,377,337,397,405,385,398
1658380599.68797,377,341,397,405,385,399
1658380599.78783,378,337,397,405,385,400
1658380599.88795,378,337,397,405,385,399
1658380599.98805,377,337,397,405,385,399
1658380600.08782,377,337,397,405,385,399
1658380600.18783,377,337,397,405,385,399
1658380600.28889,377,337,397,405,385,399
1658380600.38776,378,343,396,405,388,398
1658380600.48781,378,350,396,400,396,396
1658380600.58772,377,359,395,394,402,393
1658380600.68782,377,365,390,385,410,387
1658380600.78795,378,372,390,379,420,384
1658380600.88786,377,380,390,370,428,378
1658380600.98789,378,390,387,361,429,375
1658380601.0879,377,394,386,356,429,371
1658380601.18782,378,403,385,345,429,365
