timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1677765859.7059193,500.0,500.0,500.0,500.0,500.0,500.0
1677765861.7680216,654.0,503.0,327.0,700.0,640.0,566.0
1677765863.7827055,665.0,333.0,547.0,323.0,701.0,583.0
1677765867.3867788,272.0,604.0,395.0,386.0,485.0,368.0
1677765869.408958,512.0,378.0,565.0,308.0,375.0,612.0
1677765871.4235291,577.0,422.0,437.0,660.0,690.0,653.0
1677765873.4372745,577.0,422.0,437.0,660.0,690.0,653.0
1677765875.4518077,500.0,500.0,500.0,500.0,500.0,500.0
1677765877.4837089,457.0,377.0,607.0,492.0,556.0,401.0
1677765879.4984355,311.0,674.0,658.0,331.0,501.0,208.0
1677765881.512318,347.0,557.0,579.0,326.0,300.0,335.0
1677765883.5320055,686.0,369.0,474.0,522.0,617.0,662.0
1677765885.5452666,691.0,370.0,577.0,688.0,310.0,722.0
1677765888.8918686,691.0,370.0,577.0,688.0,310.0,722.0
1677765890.9059544,500.0,500.0,500.0,500.0,500.0,500.0
1677765892.920914,609.0,316.0,535.0,654.0,535.0,239.0
1677765894.9316766,434.0,392.0,415.0,492.0,558.0,601.0
1677765896.9450312,695.0,309.0,377.0,361.0,652.0,375.0
1677765898.9595292,199.0,530.0,628.0,682.0,316.0,510.0
1677765901.1021996,569.0,628.0,615.0,405.0,371.0,598.0
1677765903.1148515,569.0,628.0,615.0,405.0,371.0,598.0
1677765905.1293666,500.0,500.0,500.0,500.0,500.0,500.0
1677765907.1420329,578.0,427.0,408.0,623.0,578.0,365.0
1677765909.1582816,808.0,369.0,423.0,587.0,691.0,292.0
1677765911.2098653,748.0,568.0,517.0,334.0,378.0,467.0
1677765914.4446218,527.0,653.0,309.0,641.0,622.0,712.0
1677765916.4628937,216.0,446.0,304.0,397.0,458.0,393.0
1677765918.477594,216.0,446.0,304.0,397.0,458.0,393.0
1677765920.4937582,500.0,500.0,500.0,500.0,500.0,500.0
1677765922.5462096,557.0,573.0,676.0,574.0,678.0,777.0
1677765924.5613968,611.0,633.0,392.0,678.0,401.0,730.0
1677765926.5761583,337.0,490.0,373.0,395.0,378.0,586.0
1677765928.5900106,780.0,659.0,654.0,367.0,415.0,318.0
1677765930.6348538,545.0,316.0,381.0,503.0,402.0,368.0
1677765932.8156047,545.0,316.0,381.0,503.0,402.0,368.0
1677765934.8285549,500.0,500.0,500.0,500.0,500.0,500.0
1677765936.8424158,603.0,353.0,478.0,411.0,407.0,394.0
1677765938.8580966,541.0,433.0,681.0,303.0,519.0,444.0
1677765940.8778298,213.0,364.0,632.0,444.0,545.0,383.0
1677765942.8943157,467.0,587.0,578.0,600.0,595.0,406.0
1677765944.9399211,709.0,588.0,355.0,504.0,639.0,245.0
1677765946.9533827,709.0,588.0,355.0,504.0,639.0,245.0
1677765948.9775183,500.0,500.0,500.0,500.0,500.0,500.0
1677765951.0260873,653.0,364.0,608.0,627.0,429.0,323.0
1677765953.0403366,713.0,640.0,482.0,484.0,455.0,588.0
1677765956.2717764,233.0,422.0,315.0,380.0,482.0,351.0
1677765958.2971792,409.0,397.0,446.0,413.0,310.0,688.0
1677765960.3106103,718.0,690.0,601.0,326.0,610.0,548.0
1677765962.3251019,718.0,690.0,601.0,326.0,610.0,548.0
1677765964.3376322,500.0,500.0,500.0,500.0,500.0,500.0
1677765966.3527722,585.0,687.0,296.0,545.0,406.0,466.0
1677765968.367166,622.0,332.0,406.0,434.0,426.0,757.0
1677765970.4084961,654.0,295.0,603.0,391.0,482.0,415.0
1677765972.4228976,631.0,671.0,383.0,678.0,434.0,650.0
1677765974.4359381,500.0,436.0,307.0,477.0,317.0,354.0
1677765976.4484746,500.0,436.0,307.0,477.0,317.0,354.0
1677765978.4626925,500.0,500.0,500.0,500.0,500.0,500.0
1677765980.5270398,574.0,549.0,506.0,316.0,633.0,668.0
1677765982.540925,365.0,701.0,517.0,535.0,694.0,548.0
1677765984.5556374,562.0,412.0,596.0,584.0,341.0,536.0
1677765986.6157668,803.0,404.0,372.0,698.0,338.0,682.0
1677765988.6274183,432.0,454.0,380.0,372.0,481.0,713.0
1677765991.6587114,432.0,454.0,380.0,372.0,481.0,713.0
1677765993.6843743,500.0,500.0,500.0,500.0,500.0,500.0
1677765995.701625,599.0,683.0,427.0,589.0,380.0,381.0
1677765997.7228758,757.0,602.0,544.0,513.0,401.0,480.0
1677765999.7403238,750.0,674.0,459.0,437.0,442.0,729.0
1677766001.753819,256.0,461.0,640.0,518.0,515.0,708.0
1677766004.4869988,210.0,470.0,367.0,407.0,422.0,287.0
1677766006.5084832,210.0,470.0,367.0,407.0,422.0,287.0
